id,resume_id,job_id,degree,field,institution,year,job_requirements,candidate_skills,job_skills,is_match,expected_score_min,expected_score_max
47,resume_000047,job_0048,PhD,Business Administration,UCLA,2020,Bachelors in any Engineering,Flask|CSS|Rust|HTML|C++,C#|Go|C++|Angular,False,0.0,0.4
48,resume_000048,job_0049,High School,Chemistry,Community College,2021,Bachelors in Information Technology,CSS|Flask|JavaScript|Rust|React,Node.js|Ruby|React|Django,False,0.0,0.4
49,resume_000049,job_0050,High School,Biology,University of Maryland,2017,MBA in Computer Science|5+ years experience,NoSQL|NLP|Tableau|C#|PowerBI,C#|MongoDB|Data Analysis,False,0.0,0.4
50,resume_000050,job_0051,BTech,Data Science,Purdue University,2024,MBA in Software Engineering|5+ years experience,NoSQL|TensorFlow|Scikit-learn,NLP|JavaScript|Scikit-learn|PostgreSQL|PowerBI,False,0.0,0.4
51,resume_000051,job_0052,BTech,Psychology,Purdue University,2010,Bachelors in Business Administration|5+ years experience,JavaScript|Computer Vision|C++|Data Analysis,Ruby|PyTorch|Python|Java,False,0.0,0.4
52,resume_000052,job_0053,High School,Finance,Engineering College,2007,Masters in Data Science|5+ years experience,Rust|NoSQL|Data Analysis|C#|PowerBI|SQL|Scikit-learn,SQL|TensorFlow|Python|PowerBI,False,0.0,0.4
53,resume_000053,job_0054,Bachelors,Data Science,Penn State,2015,Masters in Software Engineering,HTML|Flask|C#|C++|Go,C++|CSS|Go|Angular,False,0.0,0.4
54,resume_000054,job_0055,High School,Mathematics,University of Maryland,2012,Bachelors in Software Engineering,Rust|Vue.js|C++|Angular|C#,C#|Vue.js|Java|HTML|Django,False,0.0,0.4
55,resume_000055,job_0056,MBA,Computer Science,University of Maryland,2015,Doctorate in Data Science|Research experience required|Publications preferred,Ruby|Go|C#|PostgreSQL|Keras|TensorFlow,TensorFlow|NoSQL|PyTorch,False,0.0,0.4
56,resume_000056,job_0057,Diploma,Chemistry,Tech University,2017,Masters in Data Science|5+ years experience,Keras|JavaScript|NLP|Python|TensorFlow|C++|Rust,TensorFlow|Data Analysis|NLP|Keras,False,0.0,0.4
57,resume_000057,job_0058,MBA,Computer Science,Columbia University,2024,Bachelors in Software Engineering,HTML|CSS|Node.js,Flask|Java|JavaScript|Python,False,0.0,0.4
58,resume_000058,job_0059,MBA,Data Science,UCLA,2013,MBA in Data Science|5+ years experience,PostgreSQL|Computer Vision|Data Analysis|C#|Tableau,C++|NoSQL|Computer Vision|TensorFlow|Java,True,0.8,1.0
59,resume_000059,job_0060,Diploma,Software Engineering,Local Institute,2017,Bachelors in Software Engineering,Node.js|Python|Go|C#|C++|Java|Rust,Go|Vue.js|HTML,False,0.5,0.75
60,resume_000060,job_0061,Bachelors,Computer Science,Community College,2013,Bachelors in any field,Agile|Testing|Debugging|Git|CI/CD|Scrum,Git|Scrum|Agile|Debugging|CI/CD,False,0.0,0.4
61,resume_000061,job_0062,PhD,Artificial Intelligence,University of Michigan,2015,Bachelors in Business Administration|5+ years experience,Ruby|TensorFlow|Java,Computer Vision|MongoDB|C++,False,0.0,0.4
62,resume_000062,job_0063,Bachelors,Business Administration,Local Institute,2022,Bachelors in any field,Agile|Testing|Git|Scrum|Debugging|CI/CD,Git|Debugging|CI/CD|Agile|Scrum,False,0.0,0.4
63,resume_000063,job_0064,Bachelors,Business Administration,Local Institute,2011,Bachelors in Computer Science,React|Angular|Vue.js|HTML,Vue.js|Go|Angular|React|C#,False,0.0,0.4
64,resume_000064,job_0065,BTech,Data Science,NUS Singapore,2011,Bachelors in any field,Agile|CI/CD|Scrum|Debugging|Testing|Git,Git|Scrum|CI/CD|Agile|Testing,False,0.0,0.4
65,resume_000065,job_0066,High School,Mechanical Engineering,NUS Singapore,2016,Bachelors in Computer Science|5+ years experience,PostgreSQL|PowerBI|Scikit-learn|C++|Computer Vision|Keras|MongoDB,Computer Vision|Java|PyTorch|Data Analysis|Keras,False,0.0,0.4
66,resume_000066,job_0067,Bachelors,Data Science,Technical Institute,2010,Doctorate in Physics|Research experience required|Publications preferred,Computer Vision|PostgreSQL|Tableau|Python,TensorFlow|Python|Ruby|PowerBI|PyTorch,False,0.0,0.4
67,resume_000067,job_0068,Bachelors,Psychology,Engineering College,2019,PhD in Computer Science|Research experience required|Publications preferred,MongoDB|Go|NLP,SQL|Scikit-learn|Ruby|Keras,False,0.0,0.4
68,resume_000068,job_0069,Bachelors,Mathematics,Boston University,2005,Masters in Software Engineering,CSS|Angular|Rust|Go|C#|C++,C++|Ruby|Go|Java|C#,False,0.0,0.4
69,resume_000069,job_0070,Associate,Mathematics,Local Institute,2018,PhD in Mathematics|Research experience required|Publications preferred,Java|Python|Go|PyTorch|Data Analysis|C#|NLP,PyTorch|Scikit-learn|C++|Python,False,0.3,0.6
70,resume_000070,job_0071,Bachelors,Artificial Intelligence,University of Illinois,2018,Diploma in any field,Debugging|Git|CI/CD|Testing|Agile|Scrum,Testing|CI/CD|Debugging|Scrum,False,0.0,0.4
71,resume_000071,job_0072,High School,Electrical Engineering,University of Maryland,2012,Bachelors in Information Technology,Flask|Angular|Go|React,Django|Flask|C#,True,0.5,0.75
72,resume_000072,job_0073,High School,Finance,Purdue University,2011,Masters in Software Engineering,C++|JavaScript|C#|CSS,C#|Django|HTML,True,0.5,0.75
73,resume_000073,job_0074,Bachelors,Artificial Intelligence,Local Institute,2017,Diploma in any field,Agile|CI/CD|Git|Debugging|Scrum,Scrum|Debugging|Git|Agile|CI/CD,False,0.0,0.4
74,resume_000074,job_0075,Bachelors,Physics,University of Maryland,2021,Bachelors in any Engineering,Java|Rust|Django|Angular|Vue.js|C++|Ruby,CSS|React|JavaScript|Python|Rust,False,0.0,0.4
75,resume_000075,job_0076,Masters,Biology,Stanford University,2018,PhD in Mathematics|Research experience required|Publications preferred,MongoDB|PowerBI|Ruby|Keras|PostgreSQL|PyTorch,Computer Vision|Scikit-learn|Java|Tableau,False,0.0,0.4
76,resume_000076,job_0077,MBA,Information Technology,Cornell University,2021,Bachelors in any field,Testing|Agile|Scrum,Debugging|CI/CD|Agile|Scrum,False,0.0,0.4
77,resume_000077,job_0078,Bachelors,Information Technology,Technical Institute,2016,Bachelors in Software Engineering,JavaScript|Vue.js|HTML|Go|React|Ruby|Python,Angular|JavaScript|C++|Ruby,False,0.0,0.4
78,resume_000078,job_0079,Bachelors,Artificial Intelligence,Tech University,2014,Masters in Physics|Research experience required|Publications preferred,Java|Scikit-learn|C#|NLP|Data Analysis|Ruby|JavaScript,Tableau|Ruby|SQL|Java|Computer Vision,False,0.0,0.4
79,resume_000079,job_0080,Bachelors,Business Administration,University of Maryland,2014,Bachelors in any Engineering,Angular|Django|HTML|Rust,Node.js|Vue.js|Angular,False,0.0,0.4
80,resume_000080,job_0081,BSc,Chemistry,Online University,2018,Masters in Software Engineering|5+ years experience,Java|NoSQL|Keras|PostgreSQL|C++,MongoDB|C++|PyTorch|JavaScript|Ruby,False,0.0,0.4
81,resume_000081,job_0082,Bachelors,Psychology,Online University,2011,MBA in Business Administration|5+ years experience,Computer Vision|Java|NLP,Keras|Rust|NLP|JavaScript|PowerBI,False,0.0,0.4
82,resume_000082,job_0083,PhD,Psychology,NUS Singapore,2020,Masters in Computer Science|5+ years experience,NoSQL|C#|PowerBI|SQL|Python,Python|TensorFlow|Go,False,0.0,0.4
83,resume_000083,job_0084,Bachelors,Data Science,University of Washington,2011,Diploma in any field,CI/CD|Testing|Git,Testing|Debugging|Agile|Scrum|Git,False,0.0,0.4
84,resume_000084,job_0085,BSc,Software Engineering,Online University,2012,Masters in Data Science|Research experience required|Publications preferred,MongoDB|PostgreSQL|PowerBI,PostgreSQL|Python|NLP|NoSQL|Java,False,0.0,0.4
85,resume_000085,job_0086,High School,Chemistry,NYU,2008,Masters in Data Science|Research experience required|Publications preferred,Java|Keras|PostgreSQL|Scikit-learn,Ruby|SQL|NoSQL|PowerBI|C#,False,0.0,0.4
86,resume_000086,job_0087,Bachelors,Software Engineering,NYU,2007,Diploma in any field,Git|Agile|Scrum|Testing|Debugging,Scrum|Debugging|Git|Agile|Testing,False,0.0,0.4
87,resume_000087,job_0088,BTech,Electrical Engineering,University of Texas,2017,Masters in Computer Science,JavaScript|Go|Angular|CSS|React|C#,C++|Java|Ruby|Vue.js,False,0.0,0.4
88,resume_000088,job_0089,BTech,Artificial Intelligence,Local Institute,2015,Masters in Information Technology,JavaScript|Vue.js|HTML,Node.js|React|Django|CSS,False,0.0,0.4
89,resume_000089,job_0090,Bachelors,Computer Science,Engineering College,2023,Bachelors in Computer Science,Rust|Django|Vue.js,Node.js|Go|Angular|Python,True,0.75,1.0
90,resume_000090,job_0091,Bachelors,Physics,Local Institute,2015,Masters in Artificial Intelligence|Research experience required|Publications preferred,Keras|NLP|Scikit-learn|TensorFlow|Rust|C++|Python,Ruby|NoSQL|MongoDB|NLP|C++,False,0.0,0.4
91,resume_000091,job_0092,BTech,Software Engineering,University of Maryland,2014,Bachelors in Computer Science,JavaScript|Rust|CSS|Node.js,JavaScript|Django|Vue.js|Ruby,False,0.0,0.4
92,resume_000092,job_0093,Diploma,Biology,Tech University,2018,Bachelors in Software Engineering,Node.js|React|C++|Java,C#|C++|Django,False,0.0,0.4
93,resume_000093,job_0094,BSc,Business Administration,Technical Institute,2012,PhD in Data Science|Research experience required|Publications preferred,NoSQL|MongoDB|Computer Vision|Data Analysis|JavaScript|C#,PowerBI|JavaScript|SQL|Data Analysis,False,0.0,0.4
94,resume_000094,job_0095,Associate,Electrical Engineering,Engineering College,2024,Bachelors in any field,Testing|Git|Debugging|Scrum|CI/CD|Agile,Agile|Scrum|Debugging,False,0.0,0.4
95,resume_000095,job_0096,High School,Finance,Engineering College,2009,Bachelors in any field,Testing|Agile|Debugging|Scrum|CI/CD|Git,Git|Debugging|Scrum,False,0.0,0.4
96,resume_000096,job_0097,Bachelors,Chemistry,Online University,2019,Bachelors in any Engineering,CSS|C++|Django|Flask|Vue.js,Angular|Rust|Java|Node.js,False,0.0,0.4
97,resume_000097,job_0098,MBA,Business Administration,Penn State,2013,MBA in Business Administration|5+ years experience,NLP|C#|Keras|MongoDB|C++,Rust|SQL|C++|TensorFlow,True,0.8,1.0
98,resume_000098,job_0099,Masters,Computer Science,Regional University,2016,Bachelors in Computer Science,Vue.js|C++|Django|JavaScript|Rust,HTML|Rust|C#|CSS|Python,True,0.8,1.0
99,resume_000099,job_0100,MBA,Software Engineering,Oxford University,2019,Doctorate in Mathematics|Research experience required|Publications preferred,PowerBI|NoSQL|PyTorch|PostgreSQL|Python|C++|Go,TensorFlow|Keras|NLP,False,0.0,0.4
100,resume_000100,job_0101,Masters,Mathematics,Technical Institute,2013,Bachelors in Information Technology,HTML|Django|React|C#|Angular|Vue.js|Node.js,C#|Java|Go,False,0.0,0.4
101,resume_000101,job_0102,High School,Mathematics,Technical Institute,2006,PhD in Artificial Intelligence|Research experience required|Publications preferred,NoSQL|MongoDB|SQL|C#|Tableau,Scikit-learn|Tableau|PowerBI,False,0.0,0.4
102,resume_000102,job_0103,Masters,Mathematics,NYU,2018,Diploma in any field,Git|Scrum|Testing|CI/CD|Debugging|Agile,Scrum|Git|CI/CD|Agile|Testing,False,0.0,0.4
103,resume_000103,job_0104,Bachelors,Mathematics,Local Institute,2012,Diploma in any field,Git|Testing|Debugging|CI/CD,CI/CD|Scrum|Debugging,False,0.0,0.4
104,resume_000104,job_0105,Doctorate,Mechanical Engineering,Purdue University,2022,Bachelors in any Engineering,Go|React|Ruby|Vue.js,Django|Ruby|JavaScript|Rust,False,0.0,0.4
105,resume_000105,job_0106,Diploma,Finance,Community College,2020,Masters in Computer Science,React|CSS|C#|C++,Angular|Node.js|C++|HTML,False,0.0,0.4
106,resume_000106,job_0107,Diploma,Electrical Engineering,Local Institute,2015,Masters in Computer Science,Django|HTML|Go|Ruby|JavaScript|C#|Python,JavaScript|Ruby|Rust|Vue.js,False,0.0,0.4
107,resume_000107,job_0108,Bachelors,Software Engineering,Purdue University,2014,Bachelors in Computer Science,Rust|C++|Python|Vue.js|React|HTML|Django,C++|Go|Ruby,False,0.0,0.4
108,resume_000108,job_0109,Diploma,Data Science,Engineering College,2010,MBA in Data Science|5+ years experience,PyTorch|Scikit-learn|PowerBI|Java,PowerBI|Data Analysis|Rust,False,0.5,0.75
109,resume_000109,job_0110,Associate,Biology,State University,2024,Bachelors in Computer Science,CSS|JavaScript|Node.js|C#|Python|Flask,C++|HTML|Ruby|C#,False,0.0,0.4
110,resume_000110,job_0111,BTech,English Literature,University of Texas,2023,Bachelors in Computer Science,Ruby|Node.js|Rust|Vue.js|C#,Ruby|Python|Node.js|CSS|C#,False,0.0,0.4
111,resume_000111,job_0112,Associate,Chemistry,City College,2012,Bachelors in any Engineering,JavaScript|Go|Vue.js|Java|CSS,CSS|Ruby|C++,False,0.0,0.4
112,resume_000112,job_0113,Doctorate,Business Administration,Cornell University,2015,Bachelors in any field,Debugging|Agile|Git|Scrum|CI/CD,Scrum|Agile|CI/CD|Debugging,False,0.0,0.4
113,resume_000113,job_0114,High School,English Literature,Community College,2014,Masters in Software Engineering|5+ years experience,C#|SQL|Keras|Computer Vision|NoSQL|Go,Tableau|JavaScript|MongoDB,False,0.0,0.4
114,resume_000114,job_0115,High School,Finance,University of Maryland,2009,Masters in Business Administration|5+ years experience,SQL|C++|Go|NoSQL|JavaScript|PowerBI|NLP,SQL|C#|MongoDB,False,0.0,0.4
115,resume_000115,job_0116,Masters,Finance,Local Institute,2020,Doctorate in Data Science|Research experience required|Publications preferred,Go|Data Analysis|JavaScript,Computer Vision|Keras|JavaScript,False,0.0,0.4
116,resume_000116,job_0117,Bachelors,English Literature,Tech University,2024,Masters in Computer Science,Flask|Ruby|Go|Rust,Django|Java|Vue.js|Flask,False,0.0,0.4
117,resume_000117,job_0118,High School,Finance,Technical Institute,2006,Masters in Computer Science|5+ years experience,SQL|PostgreSQL|Computer Vision|Tableau|NLP,Rust|SQL|Keras,False,0.0,0.4
118,resume_000118,job_0119,PhD,Computer Science,Boston University,2016,PhD in Artificial Intelligence|Research experience required|Publications preferred,C++|Tableau|Java,Tableau|Java|Rust|PowerBI,False,0.0,0.4
119,resume_000119,job_0120,Bachelors,Chemistry,State University,2012,Bachelors in Software Engineering,Vue.js|Angular|HTML|Django|CSS|Ruby|C++,C#|Vue.js|React|C++,False,0.0,0.4
120,resume_000120,job_0121,Masters,Finance,Engineering College,2020,Diploma in any field,Debugging|CI/CD|Scrum|Testing|Agile,Agile|Scrum|CI/CD|Git,False,0.0,0.4
121,resume_000121,job_0122,Diploma,Software Engineering,City College,2014,MBA in Computer Science|5+ years experience,Computer Vision|PowerBI|PostgreSQL|MongoDB|C#|NLP|C++,Go|Scikit-learn|JavaScript|SQL,False,0.0,0.4
122,resume_000122,job_0123,Bachelors,Computer Science,Regional University,2016,Bachelors in any field,Testing|Debugging|Agile|CI/CD,Scrum|Debugging|Git,False,0.0,0.4
123,resume_000123,job_0124,PhD,Biology,IIT Delhi,2017,Bachelors in any field,Testing|Scrum|Debugging|Agile,Testing|Scrum|Debugging|Agile,False,0.0,0.4
124,resume_000124,job_0125,BTech,Business Administration,UCLA,2022,Bachelors in Computer Science,Vue.js|Go|Python|Angular|C++,C#|Python|CSS|React|Angular,False,0.0,0.4
125,resume_000125,job_0126,High School,Software Engineering,City College,2008,Diploma in any field,Debugging|CI/CD|Testing|Git|Agile|Scrum,Debugging|Testing|CI/CD,False,0.0,0.4
126,resume_000126,job_0127,PhD,Finance,MIT,2023,PhD in Mathematics|Research experience required|Publications preferred,PowerBI|Rust|JavaScript|C#,Go|MongoDB|SQL,False,0.0,0.4
127,resume_000127,job_0128,High School,Finance,State University,2005,Diploma in any field,Testing|CI/CD|Agile,Git|Testing|Agile,False,0.0,0.4
128,resume_000128,job_0129,Masters,Psychology,NYU,2014,Doctorate in Mathematics|Research experience required|Publications preferred,Data Analysis|Rust|Tableau|PyTorch|JavaScript|Java,NLP|PowerBI|Tableau,False,0.0,0.4
129,resume_000129,job_0130,High School,Business Administration,Community College,2014,Masters in Computer Science|Research experience required|Publications preferred,Go|Data Analysis|NoSQL|TensorFlow,JavaScript|TensorFlow|PostgreSQL,False,0.3,0.6
130,resume_000130,job_0131,Associate,Computer Science,Engineering College,2024,PhD in Physics|Research experience required|Publications preferred,NLP|JavaScript|PyTorch|Ruby,Rust|Data Analysis|NLP|PostgreSQL|Scikit-learn,False,0.0,0.4
131,resume_000131,job_0132,High School,Biology,State University,2006,Bachelors in Computer Science,Django|CSS|Ruby|Python|Vue.js,HTML|Rust|C++|Ruby,False,0.0,0.4
132,resume_000132,job_0133,Diploma,Mechanical Engineering,Engineering College,2020,Bachelors in any Engineering,Rust|Node.js|Java|Flask|C#,Django|Node.js|CSS,False,0.0,0.4
133,resume_000133,job_0134,Bachelors,Biology,Online University,2015,PhD in Data Science|Research experience required|Publications preferred,Keras|TensorFlow|C++|C#|JavaScript|Ruby,SQL|PostgreSQL|Tableau|MongoDB,False,0.0,0.4
134,resume_000134,job_0135,Masters,Electrical Engineering,Technical Institute,2011,Masters in Computer Science,Flask|Go|Django|Java|Node.js,Rust|Angular|React|JavaScript|Vue.js,False,0.0,0.4
135,resume_000135,job_0136,High School,Artificial Intelligence,Regional University,2011,Masters in Computer Science,React|C++|Node.js|Vue.js|Rust,Go|Rust|Java|JavaScript|C#,False,0.0,0.4
136,resume_000136,job_0137,Masters,Psychology,Columbia University,2016,Masters in Information Technology,C#|CSS|Ruby|Angular|Node.js|C++,Vue.js|JavaScript|Go|Ruby,False,0.0,0.4
137,resume_000137,job_0138,BTech,Mathematics,University of Washington,2015,Bachelors in Computer Science,Go|Angular|React|JavaScript|Vue.js|Flask|Python,HTML|Node.js|C++|Rust|C#,False,0.0,0.4
138,resume_000138,job_0139,Bachelors,Psychology,Online University,2020,Bachelors in Information Technology,Flask|Django|Go|Java,CSS|Angular|Go|React,False,0.0,0.4
139,resume_000139,job_0140,Associate,Mechanical Engineering,Technical Institute,2010,Bachelors in Computer Science,Node.js|JavaScript|Vue.js|Angular,Django|CSS|Ruby,False,0.0,0.4
140,resume_000140,job_0141,Masters,Information Technology,City College,2018,Bachelors in any field,CI/CD|Debugging|Agile|Testing|Git,Git|Scrum|CI/CD|Debugging,False,0.0,0.4
141,resume_000141,job_0142,Doctorate,Electrical Engineering,Cambridge University,2015,Bachelors in Data Science|5+ years experience,NoSQL|C++|SQL|Data Analysis|Scikit-learn,PyTorch|Java|C++,False,0.0,0.4
142,resume_000142,job_0143,PhD,Physics,IIT Delhi,2012,Bachelors in Software Engineering|5+ years experience,Ruby|Scikit-learn|PostgreSQL|Computer Vision|SQL|Rust|NLP,PowerBI|Ruby|Tableau|Computer Vision,False,0.0,0.4
143,resume_000143,job_0144,High School,Software Engineering,Cornell University,2006,Bachelors in any field,Scrum|Agile|CI/CD|Git|Testing,CI/CD|Testing|Scrum|Debugging|Agile,False,0.0,0.4
